,uris,names,artist_names,artist_uris,artist_pop,artist_genres,albums,track_pop,danceability,energy,keys,loudness,modes,speechiness,acousticness,instrumentalness,liveness,valences,tempos,types,ids,track_hrefs,analysis_urls,durations_ms,time_signatures,playlist_name
99,2374M0fQpWi3dLnB54qaLX,Africa,TOTO,0PFtn5NtBbbUNbU9EAmIWF,72,"['album rock', 'classic rock', 'hard rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",Toto IV,87,0.671,0.373,9,-18.064,1,0.0323,0.257,8.01e-05,0.0481,0.732,92.718,audio_features,2374M0fQpWi3dLnB54qaLX,https://api.spotify.com/v1/tracks/2374M0fQpWi3dLnB54qaLX,https://api.spotify.com/v1/audio-analysis/2374M0fQpWi3dLnB54qaLX,295893,4,Motivate
100,5g0XcG0apQTlO3X8r38vGf,Down To The Honkytonk,Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,64,"['contemporary country', 'country', 'country road', 'modern country rock']",Greetings From...Jake,67,0.634,0.808,3,-4.12,1,0.0517,0.192,0.0,0.0898,0.937,82.016,audio_features,5g0XcG0apQTlO3X8r38vGf,https://api.spotify.com/v1/tracks/5g0XcG0apQTlO3X8r38vGf,https://api.spotify.com/v1/audio-analysis/5g0XcG0apQTlO3X8r38vGf,186867,4,Motivate
101,4CbrNGvwVjneG8Nk9YQqMR,A-O-K,Tai Verdes,2kCO8LXN1usaOPL3iEE28I,64,"['modern indie pop', 'singer-songwriter pop']",A-O-K,1,0.731,0.626,11,-6.919,1,0.0805,0.125,0.0,0.183,0.862,82.488,audio_features,4CbrNGvwVjneG8Nk9YQqMR,https://api.spotify.com/v1/tracks/4CbrNGvwVjneG8Nk9YQqMR,https://api.spotify.com/v1/audio-analysis/4CbrNGvwVjneG8Nk9YQqMR,173640,4,Motivate
102,0yruV4sUwyczq5cxMRRljU,DRUGS,Tai Verdes,2kCO8LXN1usaOPL3iEE28I,64,"['modern indie pop', 'singer-songwriter pop']",DRUGS,0,0.868,0.449,8,-7.713,1,0.0694,0.107,0.0,0.631,0.746,106.852,audio_features,0yruV4sUwyczq5cxMRRljU,https://api.spotify.com/v1/tracks/0yruV4sUwyczq5cxMRRljU,https://api.spotify.com/v1/audio-analysis/0yruV4sUwyczq5cxMRRljU,159547,4,Motivate
103,0hqXNoHWlBD10r7oEveMWS,Asleep On A Train,Radical Face,5EM6xJN2QNk0cL7EEm9HR9,56,"['indie folk', 'jacksonville indie', 'stomp and holler']",Ghost,32,0.203,0.219,0,-16.676,1,0.0344,0.705,0.958,0.313,0.0383,107.766,audio_features,0hqXNoHWlBD10r7oEveMWS,https://api.spotify.com/v1/tracks/0hqXNoHWlBD10r7oEveMWS,https://api.spotify.com/v1/audio-analysis/0hqXNoHWlBD10r7oEveMWS,121182,4,Motivate
104,6HTVZeVQ9J6Uiq6tHESxU9,"Welcome Home, Son",Radical Face,5EM6xJN2QNk0cL7EEm9HR9,56,"['indie folk', 'jacksonville indie', 'stomp and holler']",Ghost,72,0.587,0.497,6,-10.757,1,0.0307,0.723,0.782,0.142,0.401,144.972,audio_features,6HTVZeVQ9J6Uiq6tHESxU9,https://api.spotify.com/v1/tracks/6HTVZeVQ9J6Uiq6tHESxU9,https://api.spotify.com/v1/audio-analysis/6HTVZeVQ9J6Uiq6tHESxU9,287634,3,Motivate
105,0AbO8JBcjRJNbWqffvlIXI,Let The River In,Radical Face,5EM6xJN2QNk0cL7EEm9HR9,56,"['indie folk', 'jacksonville indie', 'stomp and holler']",Ghost,29,0.499,0.504,2,-10.473,1,0.024,0.634,0.9,0.373,0.193,95.067,audio_features,0AbO8JBcjRJNbWqffvlIXI,https://api.spotify.com/v1/tracks/0AbO8JBcjRJNbWqffvlIXI,https://api.spotify.com/v1/audio-analysis/0AbO8JBcjRJNbWqffvlIXI,306547,3,Motivate
106,4qATlz5to5qEIsGxxi9vM2,Glory,Radical Face,5EM6xJN2QNk0cL7EEm9HR9,56,"['indie folk', 'jacksonville indie', 'stomp and holler']",Ghost,33,0.485,0.551,1,-11.89,1,0.0292,0.435,0.804,0.144,0.346,97.918,audio_features,4qATlz5to5qEIsGxxi9vM2,https://api.spotify.com/v1/tracks/4qATlz5to5qEIsGxxi9vM2,https://api.spotify.com/v1/audio-analysis/4qATlz5to5qEIsGxxi9vM2,373002,4,Motivate
107,72eFfGdA7WHCHUU7v3bonq,The Strangest Things,Radical Face,5EM6xJN2QNk0cL7EEm9HR9,56,"['indie folk', 'jacksonville indie', 'stomp and holler']",Ghost,27,0.377,0.323,3,-13.505,0,0.0335,0.939,0.875,0.117,0.0742,74.978,audio_features,72eFfGdA7WHCHUU7v3bonq,https://api.spotify.com/v1/tracks/72eFfGdA7WHCHUU7v3bonq,https://api.spotify.com/v1/audio-analysis/72eFfGdA7WHCHUU7v3bonq,265953,3,Motivate
108,4zCKcMys29lH8xOYeiDYod,Wrapped In Piano Strings,Radical Face,5EM6xJN2QNk0cL7EEm9HR9,56,"['indie folk', 'jacksonville indie', 'stomp and holler']",Ghost,47,0.389,0.438,10,-10.826,1,0.0295,0.383,0.205,0.113,0.4,140.906,audio_features,4zCKcMys29lH8xOYeiDYod,https://api.spotify.com/v1/tracks/4zCKcMys29lH8xOYeiDYod,https://api.spotify.com/v1/audio-analysis/4zCKcMys29lH8xOYeiDYod,217783,3,Motivate
