,uris,names,artist_names,artist_uris,artist_pop,artist_genres,albums,track_pop,danceability,energy,keys,loudness,modes,speechiness,acousticness,instrumentalness,liveness,valences,tempos,types,ids,track_hrefs,analysis_urls,durations_ms,time_signatures,playlist_name
20,2gyxAWHebV7xPYVxqoi86f,get him back!,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,87,['pop'],GUTS,89,0.546,0.846,5,-5.719,1,0.181,0.0135,0.0,0.607,0.74,162.043,audio_features,2gyxAWHebV7xPYVxqoi86f,https://api.spotify.com/v1/tracks/2gyxAWHebV7xPYVxqoi86f,https://api.spotify.com/v1/audio-analysis/2gyxAWHebV7xPYVxqoi86f,211141,4,Hot Hits Australia
21,4M5SqWR8LIgE9N3QzEJlyS,Can I Shower At Yours,Amy Shark,2DORQjKJVYZMx9uu82UGtT,53,['australian pop'],Can I Shower At Yours,64,0.848,0.7,4,-1.863,1,0.062,0.143,0.0,0.0813,0.955,128.103,audio_features,4M5SqWR8LIgE9N3QzEJlyS,https://api.spotify.com/v1/tracks/4M5SqWR8LIgE9N3QzEJlyS,https://api.spotify.com/v1/audio-analysis/4M5SqWR8LIgE9N3QzEJlyS,114004,4,Hot Hits Australia
22,23RoR84KodL5HWvUTneQ1w,(It Goes Like) Nanana - Edit,Peggy Gou,2mLA48B366zkELXYx7hcDN,70,"['electra', 'float house']",(It Goes Like) Nanana [Edit],90,0.671,0.876,7,-5.681,0,0.0352,0.12,0.188,0.0823,0.964,129.998,audio_features,23RoR84KodL5HWvUTneQ1w,https://api.spotify.com/v1/tracks/23RoR84KodL5HWvUTneQ1w,https://api.spotify.com/v1/audio-analysis/23RoR84KodL5HWvUTneQ1w,231545,4,Hot Hits Australia
23,7MeniYdHjzvKEn8BWzFNI1,Therapy,Budjerah,4hOb2WdQMQWyG6RQAhR7iE,44,"['australian indigenous music', 'australian r&b']",Therapy,63,0.61,0.611,0,-4.652,0,0.0297,0.0129,0.0,0.174,0.417,104.943,audio_features,7MeniYdHjzvKEn8BWzFNI1,https://api.spotify.com/v1/tracks/7MeniYdHjzvKEn8BWzFNI1,https://api.spotify.com/v1/audio-analysis/7MeniYdHjzvKEn8BWzFNI1,192103,3,Hot Hits Australia
24,0WtM2NBVQNNJLh6scP13H8,Calm Down (with Selena Gomez),Rema,46pWGuE3dSwY3bMMXGBvVS,77,"['afrobeats', 'nigerian pop']",Calm Down (with Selena Gomez),90,0.801,0.806,11,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,106.999,audio_features,0WtM2NBVQNNJLh6scP13H8,https://api.spotify.com/v1/tracks/0WtM2NBVQNNJLh6scP13H8,https://api.spotify.com/v1/audio-analysis/0WtM2NBVQNNJLh6scP13H8,239318,4,Hot Hits Australia
25,1vYXt7VSjH9JIM5oRRo7vA,Dance The Night - From Barbie The Album,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,85,"['dance pop', 'pop', 'uk pop']",Dance The Night (From Barbie The Album),93,0.671,0.845,11,-4.93,0,0.048,0.0207,0.0,0.329,0.775,110.056,audio_features,1vYXt7VSjH9JIM5oRRo7vA,https://api.spotify.com/v1/tracks/1vYXt7VSjH9JIM5oRRo7vA,https://api.spotify.com/v1/audio-analysis/1vYXt7VSjH9JIM5oRRo7vA,176579,4,Hot Hits Australia
26,0Nfh4u0J4bajcyp5pzaWCx,Used To Be Young,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,82,['pop'],Used To Be Young,81,0.451,0.632,4,-3.843,1,0.0475,0.6,0.0,0.139,0.455,147.06,audio_features,0Nfh4u0J4bajcyp5pzaWCx,https://api.spotify.com/v1/tracks/0Nfh4u0J4bajcyp5pzaWCx,https://api.spotify.com/v1/audio-analysis/0Nfh4u0J4bajcyp5pzaWCx,190461,4,Hot Hits Australia
27,4ZnkygoWLzcGbQYCm3lkae,Rush,Troye Sivan,3WGpXCj9YhhfX11TToZcXP,78,"['australian pop', 'pop', 'viral pop']",Something To Give Each Other,85,0.743,0.837,5,-7.634,0,0.0633,0.00288,2.86e-05,0.104,0.378,126.023,audio_features,4ZnkygoWLzcGbQYCm3lkae,https://api.spotify.com/v1/tracks/4ZnkygoWLzcGbQYCm3lkae,https://api.spotify.com/v1/audio-analysis/4ZnkygoWLzcGbQYCm3lkae,156391,4,Hot Hits Australia
28,6iF4RgIjDvDqyW13PezSj3,Single Soon,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,81,"['pop', 'post-teen pop']",Single Soon,87,0.61,0.571,2,-5.649,1,0.0782,0.00863,0.0,0.131,0.747,105.01,audio_features,6iF4RgIjDvDqyW13PezSj3,https://api.spotify.com/v1/tracks/6iF4RgIjDvDqyW13PezSj3,https://api.spotify.com/v1/audio-analysis/6iF4RgIjDvDqyW13PezSj3,171655,4,Hot Hits Australia
29,2KslE17cAJNHTsI2MI0jb2,Standing Next to You,Jung Kook,6HaGTQPmzraVmaVxvz6EUc,89,['k-pop'],GOLDEN,97,0.711,0.809,2,-4.389,0,0.0955,0.0447,0.0,0.339,0.816,106.017,audio_features,2KslE17cAJNHTsI2MI0jb2,https://api.spotify.com/v1/tracks/2KslE17cAJNHTsI2MI0jb2,https://api.spotify.com/v1/audio-analysis/2KslE17cAJNHTsI2MI0jb2,206020,4,Hot Hits Australia
